中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
138.2.136.140,443,98.98.166.174,AE,Frankfurt,隧道,153 ms,114 Mbps,14643 kB/s
8.219.126.240,443,8.219.126.240,SG,Singapore,中转,170 ms,75 Mbps,9712 kB/s
143.47.183.22,443,2a0b:21c0:1007:cb:0:4832:1ecb:e5bf,DE,Frankfurt,隧道,153 ms,92 Mbps,11878 kB/s
8.219.67.133,443,8.219.67.133,SG,Singapore,中转,169 ms,73 Mbps,9455 kB/s
8.219.174.213,443,8.219.174.213,SG,Singapore,中转,169 ms,82 Mbps,10547 kB/s
8.219.237.250,443,8.219.237.250,SG,Singapore,中转,170 ms,90 Mbps,11571 kB/s
8.219.174.142,443,8.219.174.142,SG,Singapore,中转,171 ms,100 Mbps,12800 kB/s
138.2.18.184,443,138.2.18.184,JP,Tokyo,中转,1168 ms,29 Mbps,3715 kB/s
129.159.241.172,443,129.159.241.172,DE,,中转,154 ms,3 Mbps,452 kB/s
8.222.181.139,443,8.222.175.6,SG,,隧道,169 ms,56 Mbps,7281 kB/s
193.123.69.77,443,193.123.69.77,AE,,中转,312 ms,2 Mbps,284 kB/s
158.180.231.216,443,2603:c027:1:5610:e035:d6ae:8635:ee8d,IT,,隧道,166 ms,36 Mbps,4667 kB/s
8.219.240.160,443,8.219.240.160,SG,Singapore,中转,1184 ms,1 Mbps,179 kB/s
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,164 ms,0 Mbps,60 kB/s
47.57.233.126,443,47.254.17.16,US,San Jose,隧道,153 ms,0 Mbps,109 kB/s
3.66.115.225,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,0 ms,92 Mbps,11878 kB/s
