中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,114 ms,175 Mbps,22425 kB/s,22425.0
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,135 ms,157 Mbps,20172 kB/s,20172.0
141.147.64.246,443,2a0b:21c0:1007:1ca:0:7d63:86d8:2626,DE,Frankfurt,隧道,113 ms,150 Mbps,19251 kB/s,19251.0
152.70.214.15,443,2603:c021:c000:ba8c:5a47:c0e5:b682:31cb,BR,São Paulo,隧道,135 ms,148 Mbps,18944 kB/s,18944.0
143.47.248.6,443,2a0b:21c0:1007:1c8:0:5afa:40:7662,DE,Frankfurt,隧道,132 ms,141 Mbps,18124 kB/s,18124.0
141.148.236.114,443,2a0b:21c0:100a:1f9:0:60c4:dbb4:610f,DE,Frankfurt,隧道,92 ms,128 Mbps,16486 kB/s,16486.0
47.88.15.127,443,47.88.15.127,US,San Jose,中转,96 ms,124 Mbps,15872 kB/s,15872.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,174 ms,122 Mbps,15667 kB/s,15667.0
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,142 ms,120 Mbps,15360 kB/s,15360.0
143.47.234.31,443,2a0b:21c0:100a:1fa:0:fe95:c284:a086,DE,Frankfurt,隧道,117 ms,112 Mbps,14438 kB/s,14438.0
141.147.79.216,443,2a0b:21c0:100a:1b1:0:b71f:dc3d:bc75,DE,Frankfurt,隧道,115 ms,111 Mbps,14233 kB/s,14233.0
141.147.97.103,443,2a0b:21c0:100a:1b2:0:a48:83a8:8756,DE,Frankfurt,隧道,107 ms,109 Mbps,14028 kB/s,14028.0
141.147.106.36,443,98.98.166.170,US,Frankfurt,隧道,108 ms,109 Mbps,14028 kB/s,14028.0
138.2.107.107,443,138.2.107.107,SG,Singapore,中转,241 ms,98 Mbps,12595 kB/s,12595.0
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,18 ms,96 Mbps,12288 kB/s,12288.0
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,217 ms,92 Mbps,11878 kB/s,11878.0
